Prev_Return,Prev_Range_Pct,Prev_Direction,Asian_Return,Asian_Range_Pct,Asian_Direction,London_Return,London_Range_Pct,London_Direction,Dist_Prev_High,Dist_Prev_Low,Target
0.25123277226078344,1.2198545112272752,1,-1.3812424212858998,1.613447252149906,0,0.7064834739136857,1.1770011847771684,1,-1.3524287204570749,-0.14727272727272372,0
-3.124033060615767,3.971455252484419,0,3.555869098866932,5.938206372287888,1,1.7874007096193523,2.506617040600733,1,1.8101751719569044,6.0144927536231885,1
5.661200454957744,7.901003498567468,1,0.07077999830892413,1.1660288738752254,1,-0.5478048288586829,0.9827782153554312,0,-1.407533594242885,6.487022016391555,1
0.16228939882005564,1.910241688464369,1,1.4407188640642676,1.9316073164266165,1,-0.6410393756461387,1.0510796029760694,0,0.8320601398034094,2.7785166268607018,0
0.008836264027564199,2.5149366847696792,1,2.0908255033922223,3.2309048274511296,1,0.6488151463031502,0.9748214426078261,1,0.8138759172781855,3.365253077975376,0
5.5850557390249325,6.454464834632731,1,1.475894580061966,3.190197948809047,1,-0.412360139704766,2.0209201674324397,0,0.6969425610848096,7.204942212827847,1
5.031300808298481,6.732216210510329,1,1.8573834703789076,3.8246814503317648,1,0.04085114997794059,1.9207270781666803,1,0.7732360097323538,7.620211951882736,0
-1.3168886833443987,7.255829701206723,0,-1.277559529577807,1.8403665575839703,0,-0.20879270244963483,1.3477764017680065,0,-6.778109001284329,0.22624233208715208,1
-3.008594920573391,3.8634900993174175,0,-0.8711456986701076,1.801937870390515,0,2.190249515394385,3.2242900737530373,1,-1.9867212328579895,1.9521915954701232,1
4.957313092784827,6.822225351031014,1,-1.5342682926829316,2.48170731707316,0,-0.17904870000731965,1.482448890579564,0,-1.8029268292682945,5.023607669231771,1
-2.241219512195119,3.487804878048781,0,1.0769096290006341,2.376718572445398,1,0.5189149891877287,1.0107529274743046,1,-1.831885107410089,1.6776250000000004,1
2.15606698218054,2.8720920068430713,1,-1.3674785319194436,1.9290407358738442,0,0.4140111593304442,1.0290142591444487,1,-1.3089133089133067,1.5427135678391983,1
-0.9258319836200811,1.9290407358738442,0,4.890061825957033,5.8604492776689945,1,0.3802925417727764,2.009210301893223,1,3.5120979990996624,5.544097524567738,1
8.735707913993945,9.746934303597401,1,-2.283733490673086,3.9311487314482716,0,2.0513380767862914,2.665344822376204,1,-1.6571107363687425,7.928306072416939,1
-0.04572686424908835,3.9508918440521117,0,-1.6824014655041457,3.1479055957469546,0,0.1646195049870731,2.2754663834503206,1,-2.1840461856411255,1.7971946230274694,0
-1.1403283764366317,3.1602770293123585,0,2.4125139551987944,3.8607566614919078,1,-0.8764448434519175,2.591516103692049,0,-0.5844775681033825,2.644067875683332,1
2.033643933317956,4.058338181079664,1,-0.7519641988170398,2.0794490465867237,0,0.9391886387704699,1.4049927136792786,1,-1.2237083509886582,2.809899417192354,0
0.11800364799848953,2.261174664504398,1,1.9433727819957662,3.4614010529130406,1,-5.5683192394361845,7.197910035486233,0,-4.198620015333175,-2.007978270011028,1
-2.29659072780423,8.164457556549712,0,-0.5286832808941724,1.2124423926051149,0,-1.304752813481594,1.9009635986677396,0,-6.767884546315344,1.2395141218099297,1
-0.8483763020219551,2.673994737307987,0,-0.12422273878692029,0.9478936597733778,0,0.23369531146603695,0.9003016097462353,1,-1.0292270271630921,1.6766710586476337,0
1.022404127161436,3.4608547729574495,1,-0.10036123169352956,1.3481171385133943,0,-0.9676257672651961,1.4675523667091677,0,-1.5673234867280443,1.8994103773584872,0
-0.8310734871059768,2.5812083904739236,0,-1.1996587247434936,2.377727979606618,0,-2.28261759169404,3.2645067754796733,0,-4.706481761587086,-2.200595727198038,0
-3.26947699220584,4.455858770231478,0,-0.7748673360311609,1.6177368863098247,0,1.1548516032524498,2.6355724115042687,1,-2.803501058741404,1.7270531400966183,1
0.4778050316866371,3.791421699625882,1,-1.6741683983674347,2.190063099896513,0,0.17011067441466451,1.092879704868223,1,-2.973261279848092,0.7812100476080296,1
-1.2604568845033617,2.190063099896513,0,0.5454326923076827,1.1632211538461616,1,1.069793940786714,1.2747041250143631,1,-0.09054847009825716,2.146080322608795,1
3.2509615384615334,3.8915865384615467,1,0.5083720930232483,0.9890697674418546,1,0.9412614013410961,2.244288338817102,1,1.4291860465116262,5.397270734707397,1
3.4248837209302425,5.323255813953501,1,1.6149178656191296,2.871752091444559,1,0.20242130428861485,1.9135900215598565,1,0.31284878975162084,5.68615406216545,0
5.682455700500421,6.040089627716683,1,-0.2653791534074732,1.6657842001924088,0,-0.7409941207910178,2.1902725815072115,0,-1.4672950015085027,4.496620099143767,1
-1.0375461963209076,2.433902905960315,0,0.8527254566671237,2.0847273358094003,1,0.021016785690675208,1.0696157022060182,1,-0.8226421967056055,1.6360479626715905,1
2.3615344748260667,4.352304696885949,1,-1.6802932233115002,2.374343380815992,0,-1.0420724581223109,2.0131893817129565,0,-3.2731452455590366,0.9894098561324594,1
